ID,valor
1,368
2,193
3,615
23,26
4,414
5,338
6,268
7,134
8,116
9,79
10,189
11,269
12,86
55,43
13,92
14,437
15,343
16,650
17,323
18,98
19,165
20,84
21,162
22,32
24,53
25,26
26,37
27,454
28,53
37,83
29,96
30,231
31,263
38,57
32,168
33,390
34,246
35,647
36,288
39,341
52,102
40,289
41,304
43,185
42,284
44,218
45,68
46,175
47,139
48,151
50,87
49,84
51,18
53,94
54,47
56,78
57,109
58,286
59,138
60,463
61,312
62,648
63,116
64,205
65,167
66,205
80,381
67,476
68,408
69,660
70,620
71,343
72,410
73,268
74,239
81,289
75,218
84,382
76,423
77,197
96,165
78,231
98,30
79,374
82,291
83,295
85,348
86,634
87,253
88,246
89,355
90,187
91,412
92,77
93,208
99,29
94,136
103,73
95,370
97,365
100,111
101,46
102,30
104,270
105,92
106,67
112,246
113,246
114,532
107,170
122,100
123,782
108,518
138,283
109,207
110,317
111,317
115,486
116,387
117,236
118,344
119,435
120,633
121,453
124,345
125,323
126,555
127,402
128,321
129,214
130,178
131,195
132,203
133,340
134,485
135,756
136,613
137,595
139,641
140,394
141,416
142,324
143,377
161,666
144,192
195,593
145,231
146,464
147,253
148,376
149,451
150,557
151,395
152,544
153,394
154,469
155,695
220,271
156,1143
157,1113
158,300
159,566
160,939
162,346
163,548
164,680
165,810
222,322
166,874
167,598
168,661
169,352
170,174
171,93
172,86
261,350
173,134
278,390
174,95
175,567
303,6
176,162
177,125
178,189
179,189
180,141
181,327
304,493
182,249
183,338
310,143
184,387
185,546
186,508
187,394
188,534
189,813
190,467
191,563
192,723
311,0
193,643
194,752
196,658
197,785
198,487
199,684
200,472
312,519
313,540
201,630
314,586
202,349
203,413
204,549
205,448
206,393
207,512
208,485
209,590
210,731
211,438
212,0
213,683
214,606
215,504
216,557
217,626
218,473
219,308
221,590
223,410
224,596
225,484
226,609
227,552
228,278
229,662
230,578
231,526
232,375
233,427
234,401
235,436
236,517
237,494
238,444
239,385
240,426
241,503
242,596
243,624
244,565
245,629
246,615
247,556
248,1088
249,873
250,569
251,822
252,1049
253,977
254,860
255,541
256,641
257,581
258,632
259,1247
260,1003
262,331
263,223
264,541
265,471
266,754
267,529
268,797
269,526
270,637
271,513
272,629
273,507
274,458
275,515
276,514
277,502
279,509
280,925
281,357
282,590
283,746
284,824
285,764
286,460
287,720
288,499
289,447
290,374
291,636
292,636
293,601
294,374
295,466
296,645
297,411
298,153
299,456
300,718
301,621
302,608
305,221
306,438
307,704
308,223
309,524
